f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,class
0.304,0.159,-0.924,0.296,0.162,-0.942,0.451,0.248,-1.152,0.178,0.736,-1.490,-0.256,0.714,-0.936,-0.429,0.245,-0.282,-0.578,-0.055,-0.091,-0.702,-0.254,-0.138,-0.892,-0.275,-0.189,-0.951,-0.253,-0.222,-0.873,-0.255,-0.198,-0.876,-0.313,-0.201,-0.975,-0.298,-0.161,-0.907,-0.283,-0.264,-0.893,-0.259,-0.299,-0.938,-0.301,-0.117,NearMiss
0.381,0.193,-1.063,0.364,0.109,-1.240,0.064,-0.006,-1.280,-0.402,-0.088,-0.915,-0.552,0.109,-0.521,-0.088,0.298,-0.518,0.061,0.374,-0.868,-0.108,0.088,-1.004,-0.099,0.114,-1.010,-0.027,0.014,-1.221,-0.276,0.273,-0.898,-0.805,0.468,-0.375,-0.693,0.285,-0.507,-0.649,0.296,-0.635,-0.775,0.411,-0.457,-0.811,0.358,-0.395,NearMiss
0.346,0.244,-0.899,0.342,0.257,-0.921,0.377,0.296,-0.991,0.328,0.536,-1.059,0.069,0.700,-1.046,-0.231,0.672,-0.851,-0.465,0.407,-0.580,-0.591,0.181,-0.430,-0.697,0.121,-0.432,-0.817,0.002,-0.467,-0.865,-0.081,-0.467,-0.885,-0.127,-0.464,-0.869,-0.164,-0.425,-0.839,-0.202,-0.396,-0.793,-0.237,-0.373,-0.789,-0.276,-0.364,NearMiss
0.144,0.267,-1.012,0.115,0.245,-0.965,0.110,0.327,-1.016,-0.016,0.550,-1.074,-0.421,0.731,-0.738,-0.621,0.651,-0.273,-0.678,0.543,-0.069,-0.737,0.441,-0.037,-0.798,0.400,-0.102,-0.882,0.464,-0.109,-0.865,0.380,-0.093,-0.808,0.342,-0.099,-0.853,0.341,-0.122,-0.847,0.402,-0.138,-0.819,0.431,-0.085,-0.811,0.425,-0.080,NearMiss
0.294,0.039,-0.938,0.289,0.090,-0.984,0.348,0.427,-1.109,-0.106,1.322,-1.013,-0.369,0.941,-0.343,-0.318,0.259,-0.146,-0.501,0.185,-0.242,-0.814,0.214,-0.267,-1.002,0.270,-0.261,-0.925,0.237,-0.206,-0.879,0.260,-0.157,-0.972,0.227,-0.248,-0.771,0.308,-0.279,-0.625,0.207,-0.397,-0.559,0.204,-0.248,-0.458,0.258,-0.236,NearMiss
0.236,0.092,-0.941,0.204,0.154,-0.968,0.202,0.169,-0.962,0.226,0.314,-0.995,0.062,0.682,-1.000,-0.259,1.067,-0.632,-0.554,0.909,-0.147,-0.599,0.444,0.013,-0.669,0.323,0.048,-0.803,0.406,-0.046,-0.881,0.395,0.000,-0.883,0.327,0.068,-0.849,0.318,0.040,-0.869,0.367,0.062,-0.871,0.370,0.098,-0.863,0.466,0.133,NearMiss
0.297,-0.041,-0.942,0.314,-0.004,-0.975,0.415,0.188,-1.265,0.071,0.698,-1.524,-0.375,0.494,-0.746,-0.473,-0.020,-0.152,-0.615,-0.239,-0.051,-0.823,-0.162,-0.163,-0.956,-0.129,-0.234,-0.873,-0.185,-0.293,-0.961,-0.185,-0.139,-0.934,-0.158,-0.242,-0.894,-0.171,-0.380,-0.946,-0.125,-0.275,-0.905,-0.184,-0.242,-0.892,-0.148,-0.227,NearMiss
0.319,0.156,-0.926,0.308,0.157,-0.931,0.322,0.164,-0.938,0.369,0.178,-1.058,0.317,0.448,-1.194,0.017,0.565,-1.121,-0.295,0.455,-0.831,-0.473,0.303,-0.532,-0.612,0.118,-0.440,-0.741,0.034,-0.430,-0.842,-0.066,-0.433,-0.892,-0.100,-0.428,-0.901,-0.198,-0.363,-0.884,-0.211,-0.338,-0.861,-0.223,-0.317,-0.860,-0.232,-0.320,NearMiss
0.301,-0.019,-0.941,0.282,0.000,-0.957,0.341,-0.034,-0.975,0.393,0.291,-1.157,-0.078,0.907,-1.260,-0.388,0.694,-0.687,-0.547,0.325,-0.223,-0.588,-0.014,-0.196,-0.750,-0.171,-0.189,-0.935,-0.148,-0.168,-0.967,-0.117,-0.183,-0.964,-0.071,-0.221,-0.962,-0.051,-0.193,-0.955,-0.059,-0.181,-0.980,-0.057,-0.181,-0.972,-0.051,-0.194,NearMiss
0.172,0.092,-0.937,0.162,0.123,-0.967,0.192,0.138,-0.960,0.171,0.325,-0.996,0.082,0.748,-1.026,-0.220,1.113,-0.763,-0.496,0.807,-0.288,-0.539,0.445,-0.121,-0.651,0.351,-0.130,-0.824,0.349,-0.187,-0.900,0.373,-0.129,-0.884,0.275,-0.129,-0.909,0.297,-0.115,-0.879,0.231,-0.151,-0.923,0.271,-0.118,-0.903,0.289,-0.134,NearMiss
