f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.890,-0.877,-0.902,-1.061,-1.148,-0.981,-0.612,-0.368,-0.342,-0.382,-0.417,-0.427,-0.381,-0.385,-0.388,-0.396,NearMiss
-0.917,-0.992,-1.267,-1.224,-0.636,-0.206,-0.110,-0.242,-0.393,-0.472,-0.222,-0.330,-0.355,-0.319,-0.458,-0.325,NearMiss
-0.895,-0.942,-0.951,-0.300,0.120,-0.077,-0.109,-0.146,-0.119,-0.222,-0.168,-0.133,-0.278,-0.298,-0.301,-0.115,NearMiss
-0.995,-1.030,-1.090,-1.036,-0.895,-0.540,-0.348,-0.405,-0.510,-0.510,-0.531,-0.478,-0.545,-0.566,-0.483,-0.507,NearMiss
-0.955,-0.972,-1.003,-0.633,-0.027,0.241,0.190,0.010,0.064,0.031,0.023,0.004,-0.012,-0.000,-0.098,-0.110,NearMiss
-0.902,-0.933,-1.012,-1.137,-0.893,-0.392,-0.076,-0.110,-0.123,-0.104,-0.046,-0.015,-0.060,-0.039,-0.049,-0.051,NearMiss
-0.913,-0.921,-0.944,-0.923,-0.854,-0.542,-0.345,-0.282,-0.440,-0.633,-0.532,-0.482,-0.438,-0.506,-0.449,-0.463,NearMiss
-0.974,-0.950,-1.145,-1.288,-0.851,-0.376,-0.185,-0.177,-0.342,-0.316,-0.309,-0.397,-0.328,-0.418,-0.583,-0.728,NearMiss
-0.967,-1.253,-1.353,-0.555,-0.138,-0.117,-0.338,-0.390,-0.366,-0.705,-0.573,-0.247,-0.126,-0.046,-0.211,-0.090,NearMiss
-0.943,-0.989,-1.001,-0.726,-0.366,-0.160,-0.213,-0.276,-0.188,-0.213,-0.260,-0.249,-0.313,-0.242,-0.248,-0.269,NearMiss
-0.716,-0.790,-0.909,-1.006,-0.520,0.163,0.234,0.094,0.019,0.149,0.162,0.159,0.173,0.175,0.190,0.192,NearMiss
-0.979,-1.201,-1.445,-1.056,-0.321,-0.070,-0.047,-0.171,-0.227,-0.251,-0.229,-0.367,-0.575,-0.569,-0.409,-0.300,NearMiss
-0.942,-0.931,-1.052,-1.186,-0.933,-0.585,-0.280,-0.157,-0.153,-0.188,-0.202,-0.239,-0.236,-0.234,-0.261,-0.236,NearMiss
-0.976,-0.975,-1.081,-1.169,-0.922,-0.536,-0.238,-0.192,-0.276,-0.355,-0.332,-0.301,-0.298,-0.315,-0.308,-0.315,NearMiss
-0.956,-0.933,-0.969,-1.059,-0.698,0.012,0.295,0.452,0.584,0.759,0.757,0.693,0.687,0.669,0.650,0.650,NearMiss
-0.920,-0.914,-0.950,-1.088,-1.206,-1.096,-0.829,-0.607,-0.520,-0.481,-0.603,-0.656,-0.667,-0.591,-0.525,-0.481,NearMiss
-1.001,-0.996,-1.073,-1.215,-1.102,-0.871,-0.675,-0.512,-0.476,-0.444,-0.428,-0.428,-0.375,-0.352,-0.315,-0.319,NearMiss
-1.008,-1.004,-1.078,-1.149,-1.011,-0.519,-0.205,-0.157,-0.197,-0.265,-0.173,-0.139,-0.148,-0.161,-0.187,-0.201,NearMiss
-1.008,-0.987,-0.994,-1.042,-1.014,-0.928,-0.734,-0.515,-0.469,-0.539,-0.587,-0.567,-0.505,-0.436,-0.392,-0.355,NearMiss
-0.999,-0.979,-0.975,-1.031,-1.098,-1.119,-0.915,-0.690,-0.515,-0.497,-0.572,-0.675,-0.697,-0.586,-0.420,-0.334,NearMiss
-1.010,-1.010,-1.090,-1.043,-0.813,-0.613,-0.560,-0.567,-0.587,-0.583,-0.554,-0.532,-0.504,-0.469,-0.442,-0.441,NearMiss
-1.007,-1.015,-1.093,-1.131,-0.894,-0.648,-0.255,-0.165,-0.202,-0.280,-0.266,-0.205,-0.197,-0.187,-0.200,-0.195,NearMiss
-0.911,-0.962,-1.062,-0.770,-0.341,-0.081,0.066,0.042,0.180,0.334,0.195,0.119,0.128,0.111,0.148,0.075,NearMiss
-0.993,-1.030,-1.024,-0.963,-0.755,-0.524,-0.429,-0.409,-0.431,-0.436,-0.425,-0.366,-0.366,-0.374,-0.389,-0.404,NearMiss
-0.953,-0.933,-0.818,-0.765,-0.552,-0.442,-0.780,-0.819,-0.886,-0.711,-0.533,-0.475,-0.544,-0.573,-0.559,-0.583,NearMiss
