f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
1.015,-0.111,-0.667,-0.203,0.415,0.674,0.237,1.129,-0.163,1.395,-0.246,1.119,0.478,0.286,1.140,0.291,NoTouching
0.755,0.984,-0.206,-0.152,-0.503,-0.181,0.687,0.240,0.070,0.877,-0.201,1.310,-0.150,0.738,0.784,-0.263,NoTouching
1.149,-0.128,1.321,-0.073,-0.319,-0.559,-0.713,-0.909,-0.597,-0.876,-0.606,-0.826,-0.792,-0.526,-1.066,-0.759,NoTouching
0.307,1.150,-0.266,1.451,0.208,0.898,0.407,0.340,1.130,-0.202,0.825,0.843,0.028,1.302,0.075,0.340,NoTouching
0.991,1.021,-0.007,1.430,0.425,0.568,1.276,0.161,0.815,1.321,0.107,0.812,0.992,0.334,0.787,0.425,NoTouching
1.262,0.737,-0.186,0.128,-0.561,-0.435,-0.586,-0.152,0.100,1.135,-0.016,0.851,1.095,-0.077,1.069,1.413,NoTouching
0.297,1.362,0.247,0.900,1.049,0.026,1.272,0.795,0.142,1.425,0.230,0.897,1.109,-0.192,1.382,1.289,NoTouching
1.137,-0.029,0.919,0.716,0.116,0.919,0.044,0.580,0.541,0.489,0.355,0.227,0.236,0.240,0.257,0.202,NoTouching
0.187,0.445,1.335,-0.051,1.462,0.582,0.347,1.380,-0.178,1.513,0.204,0.949,1.128,0.378,1.419,0.782,NoTouching
-0.894,-0.488,0.186,0.114,-0.195,0.945,-0.415,0.787,0.580,-0.381,1.027,-0.069,0.180,1.223,0.038,0.622,NoTouching
