f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.192,0.286,0.334,0.576,0.657,0.654,0.805,0.887,0.683,0.341,0.043,-0.099,-0.277,-0.357,-0.406,-0.414,NoTouching
0.133,0.153,0.197,0.483,0.629,0.933,0.919,0.548,0.262,0.092,0.049,0.069,0.041,0.075,0.072,0.072,NoTouching
-0.152,-0.125,-0.029,0.209,0.419,0.446,0.141,0.183,0.363,0.418,0.433,0.288,-0.293,-0.029,0.334,0.590,NoTouching
-0.025,0.003,0.015,0.041,0.146,0.083,0.011,0.081,0.191,0.103,0.085,-0.030,-0.105,0.401,0.352,0.172,NoTouching
-0.293,-0.210,-0.146,0.073,-0.046,-0.037,0.267,0.276,0.231,0.059,0.205,0.668,0.864,0.567,0.355,0.261,NoTouching
-0.300,-0.360,-0.211,0.388,0.163,-0.201,-0.173,-0.105,-0.023,-0.062,-0.022,-0.061,-0.059,-0.225,-0.095,-0.101,NoTouching
-0.179,-0.192,-0.114,0.719,0.882,0.248,0.272,0.324,0.420,0.281,0.352,0.337,0.349,0.330,0.313,0.339,NoTouching
-0.097,-0.057,-0.093,-0.041,0.043,0.419,0.769,0.948,0.814,0.304,0.127,0.080,0.085,0.065,0.065,0.047,NoTouching
-0.160,-0.184,-0.187,-0.053,0.117,0.247,0.149,0.177,0.132,0.091,0.052,0.038,0.039,0.023,0.018,0.021,NoTouching
-0.052,-0.049,-0.454,0.084,0.297,0.308,0.086,0.015,0.085,0.359,0.676,0.592,0.532,0.470,0.376,0.373,NoTouching
0.028,0.103,-0.087,0.126,0.016,0.352,0.743,0.850,0.506,0.140,-0.017,0.014,0.004,-0.039,-0.019,-0.065,NoTouching
-0.067,-0.005,0.104,0.159,0.253,0.349,0.414,0.805,0.967,0.548,-0.011,-0.216,-0.171,-0.177,-0.183,0.253,NoTouching
-0.014,0.030,0.060,0.121,0.201,0.446,0.850,0.806,0.385,0.068,0.018,0.096,0.105,0.084,0.102,0.116,NoTouching
-0.044,0.001,0.233,0.470,0.637,0.702,0.895,0.725,0.377,0.097,-0.027,-0.135,-0.223,-0.099,-0.153,-0.179,NoTouching
0.024,0.069,0.153,0.295,0.353,0.505,0.669,0.871,0.734,0.320,0.068,-0.142,-0.206,-0.350,-0.406,-0.377,NoTouching
0.500,0.588,0.739,0.789,0.861,0.658,0.414,0.348,0.332,0.227,0.158,0.293,0.756,1.018,0.901,0.837,NoTouching
0.933,0.911,0.846,0.835,0.776,0.750,0.765,0.832,0.876,0.824,0.712,0.939,1.159,1.071,0.599,0.561,NoTouching
