f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
-81.632,64.561,-77.546,0.304,0.295,0.116,0.281,0.294,0.115,2.000,4.000,0.000,0.492,0.093,-0.236,1.671,1.569,2.092,Touching
-76.786,75.302,-69.092,0.281,0.163,0.291,0.261,0.161,0.275,4.000,0.000,0.000,0.558,0.806,-0.389,1.892,3.050,1.519,Touching
-80.103,82.602,-58.882,0.333,0.197,0.255,0.307,0.197,0.239,8.000,0.000,0.000,0.535,0.043,-0.423,1.558,1.670,1.530,Touching
-77.119,25.702,-103.905,0.258,0.176,0.231,0.246,0.175,0.231,6.000,6.000,0.000,0.502,0.142,0.050,1.973,1.930,1.645,Touching
-76.149,10.774,-94.643,0.312,0.366,0.247,0.256,0.365,0.225,6.000,1.000,0.000,0.733,-0.077,-0.553,1.671,1.400,1.754,Touching
-74.159,49.189,-85.350,0.332,0.229,0.290,0.294,0.224,0.282,6.000,8.000,0.000,0.443,0.010,-0.345,1.553,1.761,1.622,Touching
-76.905,25.239,-84.098,0.293,0.350,0.277,0.253,0.350,0.269,8.000,2.000,0.000,0.707,0.495,-0.368,1.837,2.201,1.633,Touching
-81.285,61.462,-76.662,0.328,0.132,0.343,0.315,0.132,0.314,4.000,0.000,0.000,0.411,0.306,-0.522,1.576,3.273,1.607,Touching
-70.054,41.024,-99.633,0.341,0.106,0.351,0.340,0.104,0.348,0.000,2.000,0.000,-0.013,0.616,-0.134,1.293,3.425,1.417,Touching
-88.323,60.696,-56.837,0.334,0.158,0.411,0.307,0.149,0.367,7.000,0.000,12.000,0.628,1.203,-0.540,1.682,3.688,1.493,Touching
-84.839,65.050,-40.812,0.330,0.126,0.471,0.296,0.126,0.441,4.000,0.000,1.000,0.560,0.719,-0.492,1.621,3.788,1.511,Touching
-66.735,40.124,-101.860,0.345,0.135,0.292,0.330,0.122,0.289,6.000,2.000,0.000,0.149,1.498,-0.011,1.203,4.545,1.196,Touching
-84.779,88.094,-40.115,0.330,0.168,0.298,0.304,0.161,0.266,7.000,0.000,8.000,0.604,0.038,-0.672,1.649,1.832,1.702,Touching
